timestamp_iso,timestamp_unix,frame_count,temperature_c,gain,exposure_us,cx,cy,r,robust_angle
2026-09-20T14:47:05.068090,1789883225.0680873,15,25.0,0,100,1225.8173587886242,475.7982994688,255.5040623179144,
2026-09-20T14:47:05.373432,1789883225.3734295,33,25.0,0,100,1226.5962184997886,475.344755422934,255.38428742272183,
2026-09-20T14:47:05.636370,1789883225.636369,49,25.0,0,100,1227.0727687725841,475.41924772828213,255.59877346180025,-7.278190712811765
2026-09-20T14:47:05.813505,1789883225.8135018,50,25.0,0,100,1226.971779333397,475.56818855931954,255.67159121996363,-12.468829132989953
2026-09-20T14:47:05.984497,1789883225.9844947,54,25.0,0,100,1227.1348492760385,475.749864430597,255.672460752962,-36.902712355548616
2026-09-20T14:47:06.093781,1789883226.093779,56,25.0,0,100,1227.2218264353378,475.73597987458515,255.5611153866728,-35.263014123780714
2026-09-20T14:47:06.185231,1789883226.1852293,57,25.0,0,100,1227.5978099455042,475.90051796009413,255.75268903147784,-37.93760553373849
2026-09-20T14:47:06.278318,1789883226.2783167,58,25.0,0,100,1227.4781752303713,475.69455367435273,255.56421108606287,-35.6147786889092
2026-09-20T14:47:06.370433,1789883226.3704314,59,25.0,0,100,1227.555575307458,475.73835008253354,255.6694971329234,-23.00385861536759
2026-09-20T14:47:06.493294,1789883226.493292,62,25.0,0,100,1227.3838858444897,476.1802181838715,255.51557841290034,-43.21569606831042
2026-09-20T14:47:06.587499,1789883226.5874975,63,25.0,0,100,1227.3162880971893,476.2051343252492,255.49200721501555,-45.62607799125476
2026-09-20T14:47:06.680899,1789883226.680897,64,25.0,0,100,1227.5667444823916,476.12187126309095,255.56122619382072,-31.09786010592895
2026-09-20T14:47:06.774290,1789883226.774288,65,25.0,0,100,1227.8750893424776,476.1727302839844,255.61415162318337,-50.86885308751197
2026-09-20T14:47:06.869709,1789883226.8697069,66,25.0,0,100,1227.6923667120996,475.8991140768926,255.50624953382987,-40.16988342133756
2026-09-20T14:47:06.964606,1789883226.964604,67,25.0,0,100,1227.7672361455707,475.81580458637745,255.56146264544978,-45.73756879787912
2026-09-20T14:47:07.074246,1789883227.074244,69,25.0,0,100,1227.6443124039363,476.0881508604273,255.5870787087434,-38.81443562538521
2026-09-20T14:47:07.167103,1789883227.1671019,70,25.0,0,100,1227.944354892357,475.65698951005754,255.53720354369602,-28.34910296730682
2026-09-20T14:47:07.262723,1789883227.2627187,71,25.0,0,100,1227.8955375103235,475.7942672272969,255.62719657437555,-50.84557219642761
2026-09-20T14:47:07.364103,1789883227.3641007,72,25.0,0,100,1227.8063893966498,475.75295083532706,255.64274581057617,0.9492049863998813
2026-09-20T14:47:07.510868,1789883227.5108666,76,25.0,0,100,1228.076046651258,475.8966711871293,255.6467175605487,-2.9257725236243446
2026-09-20T14:47:07.612418,1789883227.612414,77,25.0,0,100,1227.980124343631,475.90879975117605,255.86152043663986,-3.0192490566248953
2026-09-20T14:47:07.708956,1789883227.7089543,78,25.0,0,100,1228.2866506965352,475.9337991016715,255.82996286896204,-9.756087222090148
2026-09-20T14:47:07.803387,1789883227.8033855,79,25.0,0,100,1228.3538467413832,475.84881095061723,255.67297268359175,-5.102475473443477
2026-09-20T14:47:07.915143,1789883227.915141,81,25.0,0,100,1228.384411227005,475.437196217095,255.66096230099137,-5.894810715398479
2026-09-20T14:47:08.025669,1789883228.0256672,83,25.0,0,100,1228.044981731939,476.04447688871267,255.69266432347808,-5.3140234141593155
2026-09-20T14:47:08.149588,1789883228.1495862,86,25.0,0,100,1228.121165330985,475.60435008540776,255.4142176811624,-17.12888354826989
2026-09-20T14:47:08.369555,1789883228.369553,95,25.0,0,100,1228.2619047194783,475.8194063188555,255.49505443532942,-3.893360346490147
2026-09-20T14:47:08.642027,1789883228.6420252,99,25.0,0,100,1228.4635388059214,475.49360761499975,255.25927706724252,-8.956372404118621
2026-09-20T14:47:08.850611,1789883228.8506088,107,25.0,0,100,1229.082248046132,475.16509627756705,255.46594967500954,-8.375055625868479
2026-09-20T14:47:08.962098,1789883228.962096,109,25.0,0,100,1229.020283935337,475.68326101657374,255.57214958318224,-10.1243614276072
2026-09-20T14:47:09.075178,1789883229.0751765,111,25.0,0,100,1229.1698027400182,475.6141983828512,255.587902030352,-4.120252768679911
2026-09-20T14:47:09.170750,1789883229.1707487,112,25.0,0,100,1229.0385588504996,476.09347514153444,255.5206845054472,-7.28990937415065
2026-09-20T14:47:09.263070,1789883229.2630684,113,25.0,0,100,1229.0178034550363,476.31311210881904,255.70945703852166,-8.005339598221106
2026-09-20T14:47:09.357569,1789883229.3575664,114,25.0,0,100,1229.058759225241,476.12926589570884,255.59445085786348,-12.145257908797921
2026-09-20T14:47:09.465708,1789883229.4657059,116,25.0,0,100,1228.7035874174844,476.17543869961355,255.41465285300367,-16.688542563449037
2026-09-20T14:47:09.556191,1789883229.5561898,117,25.0,0,100,1229.1710506569957,476.05977623327226,255.7665248180358,-16.984379062033824
2026-09-20T14:47:09.644288,1789883229.644286,118,25.0,0,100,1229.0816134921051,476.6217979420518,255.45486774795515,-10.347621087101116
2026-09-20T14:47:09.734179,1789883229.734177,119,25.0,0,100,1229.0632105376142,476.448074922733,255.60291363513653,-8.459247057874048
2026-09-20T14:47:09.825734,1789883229.8257325,120,25.0,0,100,1228.856223442441,476.3778225623357,255.4711797161052,-15.92692641087382
2026-09-20T14:47:09.918844,1789883229.9188418,121,25.0,0,100,1229.1634053832047,476.1938934479664,255.4863057290152,-17.363030305660345
2026-09-20T14:47:10.022194,1789883230.0221922,123,25.0,0,100,1229.1719023559413,475.9700663235683,255.51184758841018,-14.402631611400677
2026-09-20T14:47:10.431180,1789883230.4311757,144,25.0,0,100,1230.1211614332371,475.93169945232853,254.96590822135673,-17.59008248113283
2026-09-20T14:47:10.553854,1789883230.553852,147,25.0,0,100,1229.3474849967624,476.08454267484717,255.56682576350056,-8.46772285434877
